Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found",,"In this task, you have to verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. If you don't find it on Wikipedia, you may use any news source or basic google search."
Who is the head coach of the team Armenia national football team currently?,Oleksandr Petrakov,Y,,,
Who is the head coach of the team Antalyaspor currently?,Nuri Sahin,N,,,
Who is the head coach of the team Torino F.C. currently?,Ivan Juric,Y,,,
Who is the head coach of the team KV Mechelen currently?,Danny Buijs,Y,,,
Who is the head coach of the team FC BATE Borisov currently?,Igor Kriushenko,Y,,,
Who is the head coach of the team Aalesunds FK currently?,Lars Arne Nilsen,N,,,
Who is the head coach of the team FK Mlada Boleslav currently?,David Holoubek,Y,,,
Who is the head coach of the team Clube Atletico Mineiro currently?,Luiz Felipe Scolari,N,,,
Who is the head coach of the team Arminia Bielefeld currently?,Daniel Scherning,N,,,
Who is the head coach of the team R. Charleroi S.C. currently?,Edward Still,N,,,
Who is the head coach of the team SC Freiburg currently?,Christian Streich,Y,,,
Who is the head coach of the team Lyngby Boldklub currently?,Freyr Alexandersson,N,,,
Who is the head coach of the team FC Dinamo Bucharest currently?,Zeljko Kopic,Y,,,
Who is the head coach of the team Alashkert FC currently?,Karen Barseghyan,N,,,
Who is the head coach of the team U.S. Salernitana 1919 currently?,Fabio Liverani,N,,,
Who is the head coach of the team FK RFS currently?,Viktors Morozs,Y,,,
Who is the head coach of the team Louisville City FC currently?,John Hackworth,N,,,
Who is the head coach of the team SCM Gloria Buzau currently?,Andrei Prepelita,N,,,
Who is the head coach of the team FC Dynamo Brest currently?,Aleksandr Brazevich,Y,,,
Who is the head coach of the team UTA Arad currently?,Ilie Poenaru,N,,,
Who is the head coach of the team FK Tuzla City currently?,Dragan Jovic,N,,,
Who is the head coach of the team A.C. Perugia Calcio currently?,Fabrizio Castori,N,,,
Who is the head coach of the team FK Shkendija currently?,Artim Sakiri,N,,,
Who is the head coach of the team VfB Stuttgart currently?,Sebastian Hoeness,Y,,,
Who is the head coach of the team Pittsburgh Riverhounds SC currently?,Bob Lilley,Y,,,
Who is the head coach of the team FC Dynamo Kyiv currently?,Oleksandr Shovkovskyi,Y,,,
Who is the head coach of the team Associazione Calcio Milan currently?,Stefano Pioli,Y,,,
Who is the head coach of the team St Patrick's Athletic F.C. currently?,Jon Daly,Y,,,
Who is the head coach of the team Lille OSC currently?,Paulo Fonseca,Y,,,
Who is the head coach of the team FK Rabotnicki currently?,Ljupco Markovski,N,,,
Who is the head coach of the team FC Inter Milan currently?,Simone Inzaghi,Y,,,
Who is the head coach of the team FC Dinamo Moscow currently?,Marcel Licka,Y,,,
Who is the head coach of the team FC Krumkachy Minsk currently?,Syarhey Kazeka,Y,,,
Who is the head coach of the team AFC Ajax currently?,John van 't Schip,Y,,,
Who is the head coach of the team Morocco national football team currently?,Walid Regragui,Y,,,
Who is the head coach of the team FC Girondins de Bordeaux currently?,Albert Riera,Y,,,
Who is the head coach of the team Wisla Plock currently?,Marek Saganowski,N,,,
Who is the head coach of the team Chelsea F.C. currently?,Mauricio Pochettino,Y,,,
Who is the head coach of the team FC Banik Ostrava currently?,Pavel Hapal,Y,,,
Who is the head coach of the team G.D. Estoril Praia currently?,Nelson Verissimo,N,,,
Who is the head coach of the team Nimes Olympique currently?,Frederic Bompard,N,,,
Who is the head coach of the team Germany women's national football team currently?,Martina Voss-Tecklenburg,N,,,
Who is the head coach of the team FC Dnepr Mogilev currently?,Vyacheslav Geraschenko,N,,,
Who is the head coach of the team Neftchi Baku PFC currently?,Adrian Mutu,N,,,
Who is the head coach of the team FK Nevezis currently?,Darius Gvildys,Y,,,
Who is the head coach of the team Hull City A.F.C. currently?,Liam Rosenior,N,,,
Who is the head coach of the team Futebol Clube do Porto currently?,Sergio Conceicao,Y,,,
Who is the head coach of the team FC Samtredia currently?,Dimitar Kapinkovski,Y,,,
Who is the head coach of the team APOEL F.C. currently?,Vladan Milojevic,N,,,
Who is the head coach of the team Debreceni VSC currently?,Joao Janeiro,N,,,
Who is the head coach of the team FC Krasnodar currently?,Vladimir Ivic,N,,,
Who is the head coach of the team Grasshopper Club Zurich currently?,Bruno Berner,N,,,
Who is the head coach of the team Philippines national football team currently?,Scott Cooper,N,,,
Who is the head coach of the team Bayer 04 Leverkusen currently?,Xabi Alonso,Y,,,
Who is the head coach of the team VVV-Venlo currently?,Jos Luhukay,N,,,
Who is the head coach of the team FC Cincinnati currently?,Pat Noonan,Y,,,
Who is the head coach of the team Yeni Malatyaspor currently?,Cihat Arslan,N,,,
Who is the head coach of the team New Zealand national rugby union team currently?,"Ian Foster, Steve Hansen",N,,,
Who is the head coach of the team Budapest Honved FC currently?,Tam Courts,N,,,
Who is the head coach of the team Brentford F.C. currently?,Thomas Frank,Y,,,
Who is the head coach of the team F.K. Sarajevo currently?,Mirza Varesanovic,N,,,
Who is the head coach of the team Rubin Kazan currently?,Rashid Rakhimov,Y,,,
Who is the head coach of the team Brescia Calcio currently?,Luis Diego Lopez,N,,,
Who is the head coach of the team Villarreal Club de Futbol currently?,Marcelino Garcia Toral,Y,,,
Who is the head coach of the team S.C. Braga currently?,Artur Jorge Amorim,N,,,
Who is the head coach of the team Olympique de Marseille currently?,Jean-Louis Gasset,Y,,,
Who is the head coach of the team Mjallby AIF currently?,Andreas Brannstrom,N,,,
Who is the head coach of the team Panathinaikos B.C. currently?,"Ergin Ataman, Aryiris Pedoulakis",Y,,,
Who is the head coach of the team POFC Botev Vratsa currently?,Rosen Kirilov,N,,,
Who is the head coach of the team Steaua Bucharest currently?,Daniel Oprita,N,,,
Who is the head coach of the team Olympiakos Nicosia FC currently?,Pambos Christodoulou,N,,,
Who is the head coach of the team Botev Plovdiv currently?,Valentic Azrudin,N,,,
Who is the head coach of the team Philadelphia Eagles currently?,Doug Pederson,N,,,
Who is the head coach of the team Kansas Jayhawks men's basketball currently?,Bill Self,Y,,,
Who is the head coach of the team Sheffield United F.C. currently?,Chris Wilder,Y,,,
Who is the head coach of the team Granada CF currently?,Alexander Medina,N,,,
Who is the head coach of the team SBV Vitesse currently?,Edward Sturing,Y,,,
Who is the head coach of the team FC Lausanne-Sport currently?,Ludovic Magnin,Y,,,
Who is the head coach of the team Palermo FC currently?,Eugenio Corini,Y,,,
Who is the head coach of the team FC Zenit Saint Petersburg currently?,Sergei Semak,Y,,,
Who is the head coach of the team SV Wacker Burghausen currently?,Uwe Wolf,N,,,
Who is the head coach of the team Real Madrid CF currently?,Carlo Ancelotti,Y,,,
Who is the head coach of the team FC Ingolstadt 04 currently?,Rudiger Rehm,N,,,
Who is the head coach of the team Manchester City F.C currently?,Pep Guardiola,Y,,,
Who is the head coach of the team FC Slutsk currently?,Aliaksandr Hurynovic,Y,,,
Who is the head coach of the team CS Concordia Chiajna currently?,Erik Lincar,N,,,
Who is the head coach of the team Czech Republic national association football team currently?,Ivan Hasek,Y,,,
Who is the head coach of the team FC Shakhter Karagandy currently?,Igor Soloshenko,N,,,
Who is the head coach of the team AEL Limassol FC currently?,Christos Charalabous,N,,,
Who is the head coach of the team Penn State Lady Lions basketball currently?,Carolyn Kieger,Y,,,
Who is the head coach of the team Genclerbirligi S.K. currently?,Metin Diyadin,N,,,
Who is the head coach of the team FC Zurich currently?,Bo Henriksen,N,,,
Who is the head coach of the team Los Angeles Galaxy currently?,Greg Vanney,Y,,,
Who is the head coach of the team Russia national association football team currently?,Valeri Karpin,Y,,,
Who is the head coach of the team Odense Boldklub currently?,Andreas Alm,N,,,
Who is the head coach of the team Asteras Tripoli F.C. currently?,Milan Rastavac,Y,,,
Who is the head coach of the team FC Liefering currently?,Rene Aufhauser,N,,,
Who is the head coach of the team FC Astana currently?,Grigori Babayan,Y,,,
Who is the head coach of the team TSV Hartberg currently?,Klaus Schmidt,N,,,
Who is the head coach of the team AEK Larnaca F.C. currently?,Jose Luis Oltra,N,,,
Who is the head coach of the team Gold Coast Football Club currently?,Stuart Dew,N,,,
Who is the head coach of the team Fenerbahce FC currently?,Ismail Kartal,Y,,,
Who is the head coach of the team PSV Eindhoven currently?,Peter Bosz,Y,,,
Who is the head coach of the team F.C. Lorient currently?,Regis Le Bris,Y,,,
Who is the head coach of the team KFCO Beerschot Wilrijk currently?,Andreas Wieland,N,,,
Who is the head coach of the team Delfino Pescara 1936 currently?,Alberto Colombo,N,,,
Who is the head coach of the team FC Viktoria Koln currently?,Olaf Janssen,Y,,,
Who is the head coach of the team Kilmarnock F.C. currently?,Derek McInnes,Y,,,
Who is the head coach of the team FC Chornomorets Odesa currently?,Roman Hryhorchuk,Y,,,
Who is the head coach of the team FC Dunarea Calarasi currently?,Gheorghe Mihali,Y,,,
Who is the head coach of the team Sabah Football Club currently?,Murad Musayev,N,,,
Who is the head coach of the team FC Slavia-Mozyr currently?,Ivan Bionchik,Y,,,
Who is the head coach of the team FC Atyrau currently?,Vitaly Zhukovsky,Y,,,
Who is the head coach of the team FK Borac Banja Luka currently?,Nenad Lalatovic,NF,,,
Who is the head coach of the team Bingoal WB currently?,"Olivier Kaisen, Frederic Amorison",NF,,,
Who is the head coach of the team Kalmar FF currently?,Henrik Rydstrom,N,,,
Who is the head coach of the team Germany women's national volleyball team currently?,Vital Heynen,Y,,,
Who is the head coach of the team Flamurtari Vlore currently?,Marcello Troisi,N,,,
Who is the head coach of the team Union Deportiva Las Palmas currently?,Francisco Javier Garcia Pimienta,Y,,,
Who is the head coach of the team SK Sigma Olomouc currently?,Jiri Sanak,Y,,,
Who is the head coach of the team Denmark national association football team currently?,Kasper Hjulmand,Y,,,
Who is the head coach of the team Stabaek Fotball currently?,Eirik Kjono,N,,,
Who is the head coach of the team KF Skenderbeu Korce currently?,Ivan Gvozdenovic,Y,,,
Who is the head coach of the team NK Istra 1961 currently?,Gonzalo Garcia Garcia,N,,,
Who is the head coach of the team Deportivo de La Coruna currently?,Borja Jimenez Saez,N,,,
Who is the head coach of the team IFK Mariehamn currently?,Daniel Norrmen,N,,,
Who is the head coach of the team Bologna FC 1909 currently?,Thiago Motta,Y,,,
Who is the head coach of the team Maccabi Petah Tikva F.C. currently?,Ran Kojok,Y,,,
Who is the head coach of the team FC Voluntari currently?,Florin Parvu,Y,,,
Who is the head coach of the team Doxa Katokopias F.C. currently?,Ricardo Cheu,N,,,
Who is the head coach of the team Santos F.C currently?,Odair Hellmann,N,,,
Who is the head coach of the team Zalaegerszegi TE currently?,Ricardo Moniz,N,,,
Who is the head coach of the team Kayserispor currently?,Omer Erdogan,N,,,
Who is the head coach of the team NK Osijek currently?,Nenad Bjelica,N,,,
Who is the head coach of the team FC Dinamo Minsk currently?,Vadim Skripchenko,Y,,,
Who is the head coach of the team Ithrottabandalag Akraness currently?,Jon Thor Hauksson,Y,,,
Who is the head coach of the team Deportivo Alaves currently?,Luis Garcia Plaza,Y,,,
Who is the head coach of the team FC Orenburg currently?,Jiri Jarosik,N,,,
Who is the head coach of the team AC Omonia currently?,Kjetil Rekdal,N,,,
Who is the head coach of the team BK Hacken currently?,Per-Mathias Hogmo,N,,,
Who is the head coach of the team KAA Gent currently?,Hein Vanhaezebrouck,Y,,,
Who is the head coach of the team MFK Karvina currently?,"Marek Bielan, Radim Grussmann",Y,,,
Who is the head coach of the team Royal Excel Mouscron currently?,Enzo Scifo,N,,,
Who is the head coach of the team FC Botosani currently?,Marius Croitoru,N,,,
Who is the head coach of the team SV Waldhof Mannheim currently?,Bernhard Trares,N,,,
Who is the head coach of the team Limburg Lions currently?,Christoph Jauernik,Y,,,
Who is the head coach of the team CSM Politehnica Iasi currently?,Leo Grozavu,N,,,
Who is the head coach of the team Blackburn Rovers F.C. currently?,John Eustace,Y,,,
Who is the head coach of the team Direct Energie currently?,"Thibaut Mace, Benoit Genauzeau, Lylian Lebreton, Dominique Arnould",NF,,,
Who is the head coach of the team Konyaspor currently?,Hakan Keles,N,,,
Who is the head coach of the team Juventus FC currently?,Massimiliano Allegri,N,,,
Who is the head coach of the team Atalanta B.C. currently?,Gian Piero Gasperini,Y,,,
Who is the head coach of the team Denizlispor currently?,Mesut Bakkal,N,,,
Who is the head coach of the team FC Arges currently?,Bogdan Vintila,N,,,
Who is the head coach of the team ASM Clermont Auvergne currently?,Christophe Urios,Y,,,
Who is the head coach of the team PFC Levski Sofia currently?,Stanimir Stoilov,N,,,
Who is the head coach of the team Arsenal F.C. currently?,Mikel Arteta,Y,,,
Who is the head coach of the team West Bromwich Albion F.C. currently?,Carlos Corberan,N,,,
Who is the head coach of the team France national rugby union team currently?,Fabien Galthie,Y,,,
Who is the head coach of the team Belarus national football team currently?,Carlos Alos Ferrer,Y,,,
Who is the head coach of the team Ostersunds FK currently?,Magnus Powell,Y,,,
Who is the head coach of the team Spezia Calcio currently?,Luca D'Angelo,Y,,,
Who is the head coach of the team HNK Rijeka currently?,Zeljko Sopic,Y,,,
Who is the head coach of the team FC Sheriff Tiraspol currently?,Roman Pylypchuk,N,,,
Who is the head coach of the team TSC Backa Topola currently?,Zarko Lazetic,Y,,,
Who is the head coach of the team Aris Thessaloniki F.C. currently?,Apostolos Mantzios,Y,,,
Who is the head coach of the team Stade Malherbe Caen currently?,Stephane Moulin,N,,,
Who is the head coach of the team Reading F.C. currently?,Ruben Selles,Y,,,
Who is the head coach of the team NK Slaven Belupo currently?,Zoran Zekic,N,,,
Who is the head coach of the team Blackpool F.C. currently?,Neil Critchley,Y,,,
Who is the head coach of the team A.E.K. Athens F.C. currently?,Matias Almendra,N,,,
Who is the head coach of the team Olympiacos F.C. currently?,Jose Luis Mendilibar,Y,,,
Who is the head coach of the team Sweden men's national ice hockey team currently?,Sam Hallam,Y,,,
Who is the head coach of the team Degerfors IF currently?,"Tobias Solberg, Andreas Holmberg",N,,,
Who is the head coach of the team TSG 1899 Hoffenheim currently?,Pellegrino Matarazzo,Y,,,
Who is the head coach of the team CSM Resita currently?,Dan Alexa,N,,,
Who is the head coach of the team Olympique Lyonnais currently?,Pierre Sage,Y,,,
Who is the head coach of the team Club Brugge K.V. currently?,Rik De Mil,N,,,
Who is the head coach of the team Sheffield Wednesday F.C. currently?,Danny Rohl,Y,,,
Who is the head coach of the team Bristol Rovers F.C. currently?,Paul Tisdale,N,,,
Who is the head coach of the team Toulouse FC currently?,Philippe Montanier,N,,,
Who is the head coach of the team F.C. Ashdod currently?,Ran Ben Shimon,N,,,
Who is the head coach of the team NK Rudes currently?,Davor Mladina,Y,,,
Who is the head coach of the team Legia Warsaw currently?,Kosta Runjaic,N,,,
Who is the head coach of the team FC Urartu currently?,Dmitri Gunko,Y,,,
Who is the head coach of the team Panathinaikos F.C. currently?,Fatih Terim,Y,,,
Who is the head coach of the team Frosinone Calcio currently?,Eusebio Di Francesco,Y,,,
Who is the head coach of the team PEC Zwolle currently?,Johnny Jansen,Y,,,
Who is the head coach of the team FK Kom currently?,Radislav Dragicevic,N,,,
Who is the head coach of the team Valenciennes F.C. currently?,Nicolas Rabuel,N,,,
Who is the head coach of the team FC Admira Wacker Modling currently?,Roberto Patzold,N,,,
Who is the head coach of the team Enosis Neon Paralimni FC currently?,David Caneda,Y,,,
Who is the head coach of the team MKE Ankaragucu currently?,Omer Erdogan,N,,,
Who is the head coach of the team Tampa Bay Rowdies currently?,Neill Collins,N,,,
Who is the head coach of the team Ivory Coast national football team currently?,Emerse Fae,Y,,,
Who is the head coach of the team FK Bodo/Glimt currently?,Kjetil Knutsen,Y,,,
Who is the head coach of the team FC Bayern Munich currently?,Thomas Tuchel,N,,,
Who is the head coach of the team FC Vorskla Poltava currently?,Viktor Skrypnyk,N,,,
Who is the head coach of the team R.S.C. Anderlecht currently?,Brian Riemer,Y,,,
Who is the head coach of the team Bolton Wanderers F.C. currently?,Ian Evatt,Y,,,
Who is the head coach of the team FK Buducnost Podgorica currently?,Miodrag Dzudovic,N,,,
Who is the head coach of the team AaB Fodbold currently?,Oscar Hiljemark,Y,,,
Who is the head coach of the team FC Viktoria Plzen currently?,Miroslav Koubek,Y,,,
Who is the head coach of the team FC Flora Tallinn currently?,Norbert Hurt,Y,,,
Who is the head coach of the team F.C. Crotone currently?,Franco Lerda,N,,,
Who is the head coach of the team Fremantle Football Club currently?,Justin Longmuir,Y,,,
Who is the head coach of the team FC Hermannstadt currently?,Marius Maldarasanu,Y,,,
Who is the head coach of the team SonderjyskE Fodbold currently?,Henrik Hansen,N,,,
Who is the head coach of the team FC Chita currently?,Maksim Shvetsov,NF,,,
Who is the head coach of the team HNK Sibenik currently?,Mario Carevic,Y,,,
Who is the head coach of the team Feyenoord currently?,Arne Slot,Y,,,
Who is the head coach of the team K.V. Kortrijk currently?,Karim Belhocine,N,,,
Who is the head coach of the team Ermis Aradippou FC currently?,Nikos Andronikou,N,,,
Who is the head coach of the team FC Zbrojovka Brno currently?,Tomas Polach,N,,,
Who is the head coach of the team Philadelphia Union currently?,Jim Curtin,Y,,,
Who is the head coach of the team Lamia F.C. currently?,Leonidas Vokolos,Y,,,
Who is the head coach of the team FC Arsenal Tula currently?,Oleg Kononov,N,,,
Who is the head coach of the team Australia national rugby union team currently?,Eddie Jones,N,,,
Who is the head coach of the team Belarus national under-21 football team currently?,Sergey Yaromko,Y,,,
Who is the head coach of the team FC Shakhtyor Salihorsk currently?,Stanislau Suvorau,Y,,,
Who is the chair of Alliance '90/The Greens Hamburg currently?,Maryam Blumenthal,Y,,,
Who is the chair of A.E.K. Athens F.C. currently?,Evangelos Aslanidis,Y,,,
Who is the chair of Naturschutzbund Deutschland currently?,Jorg-Andreas Kruger,Y,,,
Who is the chair of State Special Communications Service of Ukraine currently?,Q85997224,N,,,
Who is the chair of Pantheon-Assas University currently?,Stephane Braconnier,Y,,,
Who is the chair of Italian Republican Party currently?,Francesco Nucara,N,,,
Who is the chair of Bose Monastic Community currently?,Sabino Chiala,Y,,,
Who is the chair of Ecole du Louvre currently?,Camille Morineau,N,,,
Who is the chair of Ministry of Economy and Finance currently?,Kim Dong-yeon,N,,,
Who is the chair of BayernSPD currently?,Natascha Kohnen,N,,,
Who is the chair of Flemish Parliament currently?,Liesbeth Homans,N,,,
Who is the chair of United Torah Judaism currently?,Moshe Gafni,N,,,
Who is the chair of American Mathematical Society currently?,Ruth Charney,Y,,,
Who is the chair of Nigerian Federal Ministry of Education currently?,Adamu Adamu,N,,,
Who is the chair of Grand Orient de France currently?,Guillaume Trichard,NF,,,
Who is the chair of Federal Foreign Office currently?,Annalena Baerbock,Y,,,
Who is the chair of National Party of Australia currently?,David Littleproud,Y,,,
Who is the chair of Luxembourg Socialist Workers' Party currently?,Yves Cruchten,N,,,
Who is the chair of World Athletics currently?,Sebastian Coe,Y,,,
Who is the chair of Notre Europe currently?,Enrico Letta,Y,,,
Who is the chair of European Court of Human Rights currently?,Siofra O'Leary,Y,,,
Who is the chair of ARD currently?,Tom Buhrow,N,,,
Who is the chair of Wittenberg University currently?,Michael Frandsen,Y,,,
Who is the chair of Roman Catholic Archdiocese of Rimouski currently?,Denis Grondin,Y,,,
Who is the chair of Association for Women currently?,Chuu-Lian Terng,NF,,,
Who is the chair of National Council for Scientific and Technological Development currently?,Evaldo Ferreira Vilela,N,,,
Who is the chair of Ukrainian Athletic Federation currently?,Ravil Safiullin,N,,,
Who is the chair of Intergovernmental Panel on Climate Change currently?,James Skea,Y,,,
Who is the chair of Turkish Film Critics Association currently?,Okan Arpac,NF,,,
Who is the chair of National Commission on Informatics and Liberty currently?,Marie-Laure Denis,Y,,,
Who is the chair of Multilateral Investment Guarantee Agency currently?,Hiroshi Matano,Y,,,
