,Questions,Reference Answers,Annotation,"Y = yes, N = no, NF = not found",question_keys
0,Who is the head of the government of Ludwigshafen currently?,Jutta Steinruck,Y,,Who is the head of the government of Ludwigshafen currently?
1,Who is the head of the government of Bavaria currently?,Markus Soder,Y,,Who is the head of the government of Bavaria currently?
2,Who is the head of the government of Tehran currently?,Alireza Zakani,Y,,Who is the head of the government of Tehran currently?
3,Who is the head of the government of Bruiu currently?,Emil Gherghel,Y,,Who is the head of the government of Bruiu currently?
4,Who is the head of the government of Fellbach currently?,Gabriele Zull,Y,,Who is the head of the government of Fellbach currently?
5,Who is the head of the government of Sector 2 currently?,Radu Mihaiu,Y,,Who is the head of the government of Sector 2 currently?
6,Who is the head of the government of Australia currently?,Anthony Albanese,Y,,Who is the head of the government of Australia currently?
7,Who is the head of the government of Yamagata Prefecture currently?,Mieko Yoshimura,Y,,Who is the head of the government of Yamagata Prefecture currently?
8,Who is the head of the government of Calabria currently?,Roberto Occhiuto,Y,,Who is the head of the government of Calabria currently?
9,Who is the head of the government of Donetsk People's Republic currently?,Denis Pushilin,Y,,Who is the head of the government of Donetsk People's Republic currently?
10,Who is the head of the government of Bacau currently?,Lucian-Daniel Stanciu-Viziteu,Y,,Who is the head of the government of Bacau currently?
11,Who is the head of the government of Bicske currently?,Andrea Balint,Y,,Who is the head of the government of Bicske currently?
12,Who is the head of the government of Fresnicourt-le-Dolmen currently?,Dany Clairet,Y,,Who is the head of the government of Fresnicourt-le-Dolmen currently?
13,Who is the head of the government of Community of Valencia currently?,Carlos Mazon Guixot,Y,,Who is the head of the government of Community of Valencia currently?
14,Who is the head of the government of Benevento Province currently?,Antonio Di Maria,Y,,Who is the head of the government of Benevento Province currently?
15,Who is the head of the government of Reunion currently?,Huguette Bello,Y,,Who is the head of the government of Reunion currently?
16,Who is the head of the government of Icusesti currently?,Marius-Vasile Minica,Y,,Who is the head of the government of Icusesti currently?
17,Who is the head of the government of Amfroipret currently?,Philippe Eustache,Y,,Who is the head of the government of Amfroipret currently?
18,Who is the head of the government of City of Brussels currently?,Philippe Close,Y,,Who is the head of the government of City of Brussels currently?
20,Who is the head of the government of Communaute urbaine de Dunkerque currently?,Patrice Vergriete,Y,,Who is the head of the government of Communaute urbaine de Dunkerque currently?
21,Who is the head of the government of Austria currently?,Karl Nehammer,Y,,Who is the head of the government of Austria currently?
22,Who is the head of the government of Cetariu currently?,Ferenc-Sandor Biro,Y,,Who is the head of the government of Cetariu currently?
23,Who is the head of the government of Emerchicourt currently?,Regis Roussel,Y,,Who is the head of the government of Emerchicourt currently?
24,Who is the head of the government of Okinawa Prefecture currently?,Denny Tamaki,Y,,Who is the head of the government of Okinawa Prefecture currently?
25,Who is the head of the government of Saarland currently?,Anke Rehlinger,Y,,Who is the head of the government of Saarland currently?
26,Who is the head of the government of Aurskog-Holand currently?,Gudbrand Kvaal,Y,,Who is the head of the government of Aurskog-Holand currently?
27,Who is the head of the government of Haiti currently?,Claude Joseph,Y,,Who is the head of the government of Haiti currently?
28,Who is the head of the government of Oituz currently?,Claudiu Petrisor,Y,,Who is the head of the government of Oituz currently?
29,Who is the head of the government of Otaru currently?,Toshiya Hazama,Y,,Who is the head of the government of Otaru currently?
30,Who is the head of the government of Johannesburg currently?,Mpho Phalatse,Y,,Who is the head of the government of Johannesburg currently?
31,Who is the head of the government of Poissy currently?,Sandrine Dos Santos,Y,,Who is the head of the government of Poissy currently?
32,Who is the head of the government of Horgesti currently?,Luminita-Adriana Temea,Y,,Who is the head of the government of Horgesti currently?
33,Who is the head of the government of Leliceni currently?,Istvan-Alfred Nagy,Y,,Who is the head of the government of Leliceni currently?
34,Who is the head of the government of Ostend currently?,Bart Tommelein,Y,,Who is the head of the government of Ostend currently?
35,Who is the head of the government of Hordain currently?,Arnaud Bavay,Y,,Who is the head of the government of Hordain currently?
36,Who is the head of the government of Salfit Governorate currently?,Abdullah Kmail,Y,,Who is the head of the government of Salfit Governorate currently?
37,Who is the head of the government of Fredericia Municipality currently?,Steen Wrist,Y,,Who is the head of the government of Fredericia Municipality currently?
38,Who is the head of the government of Viborg Municipality currently?,Ulrik Wilbek,Y,,Who is the head of the government of Viborg Municipality currently?
39,Who is the head of the government of Izhevsk currently?,Oleg Nikolaevich Bekmemetiev,Y,,Who is the head of the government of Izhevsk currently?
40,Who is the head of the government of Skopje currently?,Danela Arsovska,Y,,Who is the head of the government of Skopje currently?
41,Who is the head of the government of Colleret currently?,Claude Menissez,Y,,Who is the head of the government of Colleret currently?
42,Who is the head of the government of Beius currently?,Gabriel-Catalin Popa,Y,,Who is the head of the government of Beius currently?
43,Who is the head of the government of Livorno currently?,Luca Salvetti,Y,,Who is the head of the government of Livorno currently?
44,Who is the head of the government of Dresden currently?,Dirk Hilbert,Y,,Who is the head of the government of Dresden currently?
45,Who is the head of the government of Gauteng currently?,David Makhura,Y,,Who is the head of the government of Gauteng currently?
46,Who is the head of the government of Flakstad currently?,Trond Kroken,Y,,Who is the head of the government of Flakstad currently?
47,Who is the head of the government of Gera currently?,Julian Vonarb,Y,,Who is the head of the government of Gera currently?
48,Who is the head of the government of Kharkiv Oblast currently?,Oleh Synyehubov,Y,,Who is the head of the government of Kharkiv Oblast currently?
49,Who is the head of the government of Mouchin currently?,Christian Devaux,Y,,Who is the head of the government of Mouchin currently?
50,Who was the previous head of the government of Trebic?,Pavel Janata,Y,,Who was the previous head of the government of Trebic?
51,Who was the previous head of the government of Saint-Saulve?,Cecile Gallez,Y,,Who was the previous head of the government of Saint-Saulve?
52,Who was the previous head of the government of Enschede?,Theo Bovens,Y,,Who was the previous head of the government of Enschede?
53,Who was the previous head of the government of Russelsheim am Main?,Patrick Burghardt,Y,,Who was the previous head of the government of Russelsheim am Main?
54,Who was the previous head of the government of la Garrotxa?,Joan Espona Agustin,Y,,Who was the previous head of the government of la Garrotxa?
55,Who was the previous head of the government of Alaquas?,Elvira Garcia Campos,Y,,Who was the previous head of the government of Alaquas?
56,Who was the previous head of the government of Dordrecht?,Peter van der Velden,Y,,Who was the previous head of the government of Dordrecht?
57,Who was the previous head of the government of Moldova?,Natalia Gavrilita,Y,,Who was the previous head of the government of Moldova?
58,Who was the previous head of the government of Saudi Arabia?,Abdullah of Saudi Arabia,Y,,Who was the previous head of the government of Saudi Arabia?
59,Who was the previous head of the government of Pennsylvania?,Tom Wolf,Y,,Who was the previous head of the government of Pennsylvania?
60,Who was the previous head of the government of Douai?,Jacques Vernier,Y,,Who was the previous head of the government of Douai?
61,Who was the previous head of the government of Gentofte Municipality?,Hans Toft,Y,,Who was the previous head of the government of Gentofte Municipality?
62,Who was the previous head of the government of Frederiksberg Municipality?,Simon Aggesen,Y,,Who was the previous head of the government of Frederiksberg Municipality?
63,Who was the previous head of the government of Wilmington?,Dennis P. Williams,Y,,Who was the previous head of the government of Wilmington?
64,Who was the previous head of the government of India?,Manmohan Singh,Y,,Who was the previous head of the government of India?
65,Who was the previous head of the government of Catalonia?,Quim Torra,Y,,Who was the previous head of the government of Catalonia?
66,Who was the previous head of the government of Sighisoara?,Ovidiu-Dumitru Malancravean,Y,,Who was the previous head of the government of Sighisoara?
67,Who was the previous head of the government of Rennes?,Daniel Delaveau,Y,,Who was the previous head of the government of Rennes?
68,Who was the previous head of the government of Slovenia?,Janez Jansa,Y,,Who was the previous head of the government of Slovenia?
69,Who was the previous head of the government of Aniche?,Marc Hemez,Y,,Who was the previous head of the government of Aniche?
70,Who was the previous head of the government of Bourges?,Pascal Blanc,Y,,Who was the previous head of the government of Bourges?
71,Who was the previous head of the government of Minsk?,Anatol Sivak,Y,,Who was the previous head of the government of Minsk?
72,Who was the previous head of the government of Amstelveen?,Bas Eenhoorn,Y,,Who was the previous head of the government of Amstelveen?
73,Who was the previous head of the government of Ouder-Amstel?,Mieke Blankers-Kasbergen,Y,,Who was the previous head of the government of Ouder-Amstel?
74,Who was the previous head of the government of Grodersby?,Ernst Detlef Mangelsen,Y,,Who was the previous head of the government of Grodersby?
75,Who was the previous head of the government of Kristiansand?,Jan Oddvar Skisland,Y,,Who was the previous head of the government of Kristiansand?
76,Who was the previous head of the government of Leudelange?,Rob Roemen,Y,,Who was the previous head of the government of Leudelange?
77,Who was the previous head of the government of Berlin?,Franziska Giffey,Y,,Who was the previous head of the government of Berlin?
78,Who was the previous head of the government of Vadso?,Hans-Jacob Bona,Y,,Who was the previous head of the government of Vadso?
79,Who was the previous head of the government of Bujoru?,Gica Sirbu,NF,,Who was the previous head of the government of Bujoru?
80,Who was the previous head of the government of Hesse?,Volker Bouffier,Y,,Who was the previous head of the government of Hesse?
81,Who was the previous head of the government of Manila?,Isko Moreno,Y,,Who was the previous head of the government of Manila?
82,Who was the previous head of the government of Montalban de Cordoba?,Jose Canero Morales,Y,,Who was the previous head of the government of Montalban de Cordoba?
83,Who was the previous head of the government of Schleswig-Holstein?,Torsten Albig,Y,,Who was the previous head of the government of Schleswig-Holstein?
84,Who was the previous head of the government of Saint-Martin-de-Crau?,Marie-Rose Lexcellent,Y,,Who was the previous head of the government of Saint-Martin-de-Crau?
85,Who was the previous head of the government of Saint-Etienne Metropole?,Maurice Vincent,Y,,Who was the previous head of the government of Saint-Etienne Metropole?
86,Who was the previous head of the government of Krasnoyarsk?,Edkham Akbulatov,Y,,Who was the previous head of the government of Krasnoyarsk?
87,Who was the previous head of the government of Somalia?,Mahdi Mohammed Gulaid,Y,,Who was the previous head of the government of Somalia?
88,Who was the previous head of the government of Saint Petersburg?,Georgy Poltavchenko,Y,,Who was the previous head of the government of Saint Petersburg?
89,Who was the previous head of the government of Zaporizhzhia?,Volodymyr Buryak,Y,,Who was the previous head of the government of Zaporizhzhia?
90,Who was the previous head of the government of Chislaz?,Mihai Kosztandi,Y,,Who was the previous head of the government of Chislaz?
92,Who was the previous head of the government of West Maas en Waal?,Corry van Rhee-Oud Ammerveld,Y,,Who was the previous head of the government of West Maas en Waal?
93,Who was the previous head of the government of Atlanta?,Keisha Lance Bottoms,Y,,Who was the previous head of the government of Atlanta?
94,Who was the previous head of the government of Tasnad?,Csaba-Francisc Grieb,Y,,Who was the previous head of the government of Tasnad?
95,Who was the previous head of the government of Cologne?,Jurgen Roters,Y,,Who was the previous head of the government of Cologne?
96,Who was the previous head of the government of Glostrup Municipality?,John Engelhardt,Y,,Who was the previous head of the government of Glostrup Municipality?
97,Who was the previous head of the government of Luizi-Calugara?,Florentiu Butacu,Y,,Who was the previous head of the government of Luizi-Calugara?
98,Who was the previous head of the government of Kernen im Remstal?,Stefan Altenberger,Y,,Who was the previous head of the government of Kernen im Remstal?
99,Who was the previous head of the government of Plzen Region?,Ilona Mauritzova,Y,,Who was the previous head of the government of Plzen Region?
100,Who was the previous head of the government of Asturias?,Javier Fernandez Fernandez,Y,,Who was the previous head of the government of Asturias?
101,Who was the previous head of the government of Taipei City Government?,Hau Lung-pin,Y,,Who was the previous head of the government of Taipei City Government?
102,Who was the previous head of the government of Roskilde Municipality?,Joy Mogensen,Y,,Who was the previous head of the government of Roskilde Municipality?
103,Who was the previous head of the government of Enebakk?,Oystein Slette,Y,,Who was the previous head of the government of Enebakk?
104,Who was the previous head of the government of Noyelles-les-Vermelles?,Leon Copin,Y,,Who was the previous head of the government of Noyelles-les-Vermelles?
105,Who was the previous head of the government of Manitoba?,Kelvin Goertzen,Y,,Who was the previous head of the government of Manitoba?
107,Who was the previous head of the government of Vladivostok?,Oleg Vladimirovich Humeniuk,Y,,Who was the previous head of the government of Vladivostok?
108,Who was the previous head of the government of Vacareni?,Stefan Stoica,NF,,Who was the previous head of the government of Vacareni?
109,Who was the previous head of the government of Hsinchu County?,Chiu Ching-chun,Y,,Who was the previous head of the government of Hsinchu County?
110,Who was the previous head of the government of Chailly-sur-Armancon?,Didier Levy,Y,,Who was the previous head of the government of Chailly-sur-Armancon?
111,Who was the previous head of the government of Avesnes-le-Sec?,Eric Delvaux,Y,,Who was the previous head of the government of Avesnes-le-Sec?
112,Who was the previous head of the government of Botosani?,Catalin-Mugurel Flutur,Y,,Who was the previous head of the government of Botosani?
113,Who was the previous head of the government of Dinard?,Jean-Claude Mahe,Y,,Who was the previous head of the government of Dinard?
114,Who was the previous head of the government of Mumbai?,Kishori Pednekar,Y,,Who was the previous head of the government of Mumbai?
115,Who was the previous head of the government of Pomi?,Ioan Grad,Y,,Who was the previous head of the government of Pomi?
116,Who was the previous head of the government of Usurbil?,Xabier Arregi Iparragirre,Y,,Who was the previous head of the government of Usurbil?
117,Who was the previous head of the government of Navarre?,Uxue Barkos,Y,,Who was the previous head of the government of Navarre?
119,Who was the previous head of the government of Nicseni?,Iulian Iliescu,Y,,Who was the previous head of the government of Nicseni?
120,Who was the previous head of the government of Villers-Plouich?,Raymond Machut,Y,,Who was the previous head of the government of Villers-Plouich?
121,Who was the previous head of the government of Erftstadt?,Volker Erner,Y,,Who was the previous head of the government of Erftstadt?
122,Who was the previous head of the government of Wiesbaden?,Sven Gerich,Y,,Who was the previous head of the government of Wiesbaden?
123,Who was the previous head of the government of Mauritania?,Ismail Ould Bedde Ould Cheikh Sidiya,Y,,Who was the previous head of the government of Mauritania?
124,Who was the previous head of the government of Eugene?,Kitty Piercy,Y,,Who was the previous head of the government of Eugene?
125,Who was the previous head of the government of Heilongjiang?,Hu Changsheng,Y,,Who was the previous head of the government of Heilongjiang?
126,Who was the previous head of the government of Kopstal?,Carlo Schmit,NF,,Who was the previous head of the government of Kopstal?
127,Who was the previous head of the government of The Hague?,Johan Remkes,Y,,Who was the previous head of the government of The Hague?
128,Who was the previous head of the government of Bahna?,Emil Prisecaru,Y,,Who was the previous head of the government of Bahna?
129,Who was the previous head of the government of Norfolk?,Paul D. Fraim,Y,,Who was the previous head of the government of Norfolk?
130,Who was the previous head of the government of Graz?,Siegfried Nagl,Y,,Who was the previous head of the government of Graz?
131,Who was the previous head of the government of Nur-Sultan?,Bakhyt Sultanov,NF,,Who was the previous head of the government of Nur-Sultan?
133,Who was the previous head of the government of Istanbul?,Mevlut Uysal,Y,,Who was the previous head of the government of Istanbul?
134,Who was the previous head of the government of Kazakhstan?,Askar Mamin,Y,,Who was the previous head of the government of Kazakhstan?
135,Who was the previous head of the government of Le Bourget?,Yannick Hoppe,Y,,Who was the previous head of the government of Le Bourget?
136,Who was the previous head of the government of Bruay-la-Buissiere?,Olivier Switaj,Y,,Who was the previous head of the government of Bruay-la-Buissiere?
137,Who was the previous head of the government of Indianapolis?,Greg Ballard,Y,,Who was the previous head of the government of Indianapolis?
138,Who was the previous head of the government of Gratangen?,Eva Ottesen,Y,,Who was the previous head of the government of Gratangen?
139,Who was the previous head of the government of Ferin?,Monique Parent,NF,,Who was the previous head of the government of Ferin?
140,Who was the previous head of the government of Sudwest-Fryslan?,Magda Berndsen,Y,,Who was the previous head of the government of Sudwest-Fryslan?
142,Who was the previous head of the government of Helsingor Municipality?,Johannes Hecht-Nielsen,Y,,Who was the previous head of the government of Helsingor Municipality?
143,Who was the previous head of the government of Bordeaux?,Nicolas Florian,Y,,Who was the previous head of the government of Bordeaux?
144,Who was the previous head of the government of Tingvoll?,Milly Bente Norsett,Y,,Who was the previous head of the government of Tingvoll?
145,Who was the previous head of the government of Madrid?,Manuela Carmena,Y,,Who was the previous head of the government of Madrid?
146,Who was the previous head of the government of Massalfassar?,Joan Morant,NF,,Who was the previous head of the government of Massalfassar?
147,Who was the previous head of the government of Kosovo?,Avdullah Hoti,Y,,Who was the previous head of the government of Kosovo?
148,Who was the previous head of the government of Iasi?,Gheorghe Nichita,Y,,Who was the previous head of the government of Iasi?
149,Who was the previous head of the government of Lyngby-Taarbaek Municipality?,Soren P. Rasmussen,Y,,Who was the previous head of the government of Lyngby-Taarbaek Municipality?
151,Who was the previous head of the government of Weilheim-Schongau?,Friedrich Zeller,Y,,Who was the previous head of the government of Weilheim-Schongau?
152,Who was the previous head of the government of Mali?,Choguel Kokalla Maiga,Y,,Who was the previous head of the government of Mali?
153,Who was the previous head of the government of Burkina Faso?,Lassina Zerbo,Y,,Who was the previous head of the government of Burkina Faso?
154,Who was the previous head of the government of Primorsky Krai?,Andrey Vladimirovich Tarasenko,Y,,Who was the previous head of the government of Primorsky Krai?
155,Who was the previous head of the government of Boise?,David H. Bieter,Y,,Who was the previous head of the government of Boise?
156,Who was the previous head of the government of Heilbronn?,Helmut Himmelsbach,Y,,Who was the previous head of the government of Heilbronn?
157,Who was the previous head of the government of Sector 1?,Daniel Tudorache,Y,,Who was the previous head of the government of Sector 1?
158,Who was the previous head of the government of Mexico?,Enrique Pena Nieto,Y,,Who was the previous head of the government of Mexico?
159,Who was the previous head of the government of Meudon?,Herve Marseille,Y,,Who was the previous head of the government of Meudon?
160,Who was the previous head of the government of Community of Madrid?,Pedro Rollan Ojeda,Y,,Who was the previous head of the government of Community of Madrid?
161,Who was the previous head of the government of Hradec Kralove?,Alexandr Hrabalek,Y,,Who was the previous head of the government of Hradec Kralove?
162,Who was the previous head of the government of Bulgaria?,Galab Donev,Y,,Who was the previous head of the government of Bulgaria?
163,Who was the previous head of the government of Vestre Slidre?,Eivind Brenna,Y,,Who was the previous head of the government of Vestre Slidre?
164,Who was the previous head of the government of Almaty?,Bakhytzhan Sagintayev,Y,,Who was the previous head of the government of Almaty?
165,Who was the previous head of the government of Ukraine?,Oleksiy Honcharuk,Y,,Who was the previous head of the government of Ukraine?
167,Who was the previous head of the government of France?,Elisabeth Borne,Y,,Who was the previous head of the government of France?
168,Who was the previous head of the government of Freiburg im Breisgau?,Dieter Salomon,Y,,Who was the previous head of the government of Freiburg im Breisgau?
169,Who was the previous head of the government of Sector 6?,Gabriel Mutu,Y,,Who was the previous head of the government of Sector 6?
171,Who is the head of the government of Trebic currently?,Pavel Pacal,Y,,Who is the head of the government of Trebic currently?
173,Who was the previous head of the government of Lyon?,Gerard Collomb,Y,,Who was the previous head of the government of Lyon?
174,Who was the previous head of the government of Dunkirk?,Michel Delebarre,Y,,Who was the previous head of the government of Dunkirk?
175,Who was the previous head of the government of Aachen?,Marcel Philipp,Y,,Who was the previous head of the government of Aachen?
176,Who was the previous head of the government of Iran?,Hassan Rouhani,Y,,Who was the previous head of the government of Iran?
177,Who was the previous head of the government of Modum?,Stale Versland,NF,,Who was the previous head of the government of Modum?
178,Who was the previous head of the government of Bat Yam?,Yosi Bachar,Y,,Who was the previous head of the government of Bat Yam?
179,Who was the previous head of the government of Morlaix Communaute?,Thierry Piriou,Y,,Who was the previous head of the government of Morlaix Communaute?
180,Who was the previous head of the government of Castile and Leon?,Juan Vicente Herrera Campo,Y,,Who was the previous head of the government of Castile and Leon?
181,Who was the previous head of the government of Saint-Etienne?,Maurice Vincent,Y,,Who was the previous head of the government of Saint-Etienne?
182,Who was the previous head of the government of Tibanesti?,Aurica Cobuz,Y,,Who was the previous head of the government of Tibanesti?
183,Who was the previous head of the government of Darmstadt Government Region?,Johannes Baron,Y,,Who was the previous head of the government of Darmstadt Government Region?
184,Who was the previous head of the government of Lourches?,Jean-Rene Bihet,Y,,Who was the previous head of the government of Lourches?
185,Who was the previous head of the government of Langeland Municipality?,Bjarne Nielsen,Y,,Who was the previous head of the government of Langeland Municipality?
186,Who was the previous head of the government of Wassenaar?,Frank Koen,Y,,Who was the previous head of the government of Wassenaar?
187,Who was the previous head of the government of Saint-Brieuc Armor Agglomeration?,Marie-Claire Diouron,Y,,Who was the previous head of the government of Saint-Brieuc Armor Agglomeration?
