,Questions,Reference Answers,Annotation,"Y = yes, N = no, NF = not found",question_keys
188,Who was the previous head of the government of Arleux?,Patrick Masclet,Y,,Who was the previous head of the government of Arleux?
189,Who was the previous head of the government of North West?,Job Mokgoro,Y,,Who was the previous head of the government of North West?
190,Who was the previous head of the government of Alcoi / Alcoy?,Jordi Sedano Delgado,Y,,Who was the previous head of the government of Alcoi / Alcoy?
191,Who was the previous head of the government of Salzburg?,Heinz Schaden,Y,,Who was the previous head of the government of Salzburg?
193,Who was the previous head of the government of Kremenchuk?,Oleh Babayev,Y,,Who was the previous head of the government of Kremenchuk?
194,Who was the previous head of the government of Chisinau?,Andrei Nastase,Y,,Who was the previous head of the government of Chisinau?
195,Who was the previous head of the government of Fantanele?,Emil-Nicolae Otlacan,NF,,Who was the previous head of the government of Fantanele?
196,Who was the previous head of the government of Piestany?,Milos Tamajka,Y,,Who was the previous head of the government of Piestany?
197,Who was the previous head of the government of Mainz?,Gunter Beck,Y,,Who was the previous head of the government of Mainz?
198,Who was the previous head of the government of Meraker?,Kari Anita Furunes,Y,,Who was the previous head of the government of Meraker?
199,Who was the previous head of the government of Geneva?,Marie Barbey-Chappuis,Y,,Who was the previous head of the government of Geneva?
200,Who was the previous head of the government of O Rosal?,Maria del Carmen Alonso Alonso,Y,,Who was the previous head of the government of O Rosal?
201,Who was the previous head of the government of Stord?,Harry Herstad,Y,,Who was the previous head of the government of Stord?
202,Who was the previous head of the government of Doetinchem?,Niels Joosten,Y,,Who was the previous head of the government of Doetinchem?
203,Who was the previous head of the government of Masoy?,Reidun Helene Mortensen,Y,,Who was the previous head of the government of Masoy?
204,Who was the previous head of the government of Tilloy-lez-Marchiennes?,Jean-Luc Bot,Y,,Who was the previous head of the government of Tilloy-lez-Marchiennes?
205,Who was the previous head of the government of Molenbeek-Saint-Jean?,Francoise Schepmans,Y,,Who was the previous head of the government of Molenbeek-Saint-Jean?
206,Who was the previous head of the government of Tydal?,Ole Bjarne Ostby,Y,,Who was the previous head of the government of Tydal?
207,Who was the previous head of the government of Boston?,Kim Janey,Y,,Who was the previous head of the government of Boston?
208,Who was the previous head of the government of Copenhagen Municipality?,Lars Weiss,Y,,Who was the previous head of the government of Copenhagen Municipality?
209,Who was the previous head of the government of Lubeck?,Bernd Saxe,Y,,Who was the previous head of the government of Lubeck?
210,Who was the previous head of the government of Marseille?,Benoit Payan,Y,,Who was the previous head of the government of Marseille?
211,Who was the previous head of the government of Sonderborg Municipality?,Aase Nyegaard,Y,,Who was the previous head of the government of Sonderborg Municipality?
212,Who was the previous head of the government of Spain?,Mariano Rajoy,Y,,Who was the previous head of the government of Spain?
213,Who was the previous head of the government of Fouquieres-les-Lens?,Michel Bouchez,Y,,Who was the previous head of the government of Fouquieres-les-Lens?
214,Who was the previous head of the government of Verona?,Federico Sboarina,Y,,Who was the previous head of the government of Verona?
215,Who was the previous head of the government of Russia?,Dmitry Medvedev,Y,,Who was the previous head of the government of Russia?
216,Who was the previous head of the government of Romania?,Nicolae Ciuca,Y,,Who was the previous head of the government of Romania?
217,Who was the previous head of the government of Esch-sur-Alzette?,Georges Mischo,Y,,Who was the previous head of the government of Esch-sur-Alzette?
218,Who was the previous head of the government of Petris?,Irina Onescu,Y,,Who was the previous head of the government of Petris?
219,Who was the previous head of the government of Vienna?,Michael Haupl,Y,,Who was the previous head of the government of Vienna?
220,Who was the previous head of the government of Poland?,Mateusz Morawiecki,Y,,Who was the previous head of the government of Poland?
221,Who was the previous head of the government of Prats de Llucanes?,Isaac Peraire Soler,Y,,Who was the previous head of the government of Prats de Llucanes?
222,Who was the previous head of the government of Budapest District XI?,Tamas Hoffmann,Y,,Who was the previous head of the government of Budapest District XI?
223,Who was the previous head of the government of Hasnon?,Yannick Nison,Y,,Who was the previous head of the government of Hasnon?
224,Who was the previous head of the government of Taitung County?,Justin Huang,Y,,Who was the previous head of the government of Taitung County?
225,Who was the previous head of the government of Plzen?,Pavel Sindelar,Y,,Who was the previous head of the government of Plzen?
226,Who was the previous head of the government of Kerteminde Municipality?,Hans Luunbjerg,Y,,Who was the previous head of the government of Kerteminde Municipality?
227,Who was the previous head of the government of Mende?,Jean-Jacques Delmas,Y,,Who was the previous head of the government of Mende?
228,Who was the previous head of the government of Chicago?,Lori Lightfoot,Y,,Who was the previous head of the government of Chicago?
229,Who was the previous head of the government of Malang?,Muhammad Anton,Y,,Who was the previous head of the government of Malang?
230,Who was the previous head of the government of Dochia?,Constantin Paduraru,Y,,Who was the previous head of the government of Dochia?
231,Who was the previous head of the government of Georgia?,Irakli Garibashvili,Y,,Who was the previous head of the government of Georgia?
232,Who was the previous head of the government of Incheon?,Paul Yoo,Y,,Who was the previous head of the government of Incheon?
233,Who was the previous head of the government of Darabani?,Liviu Hrimiuc,Y,,Who was the previous head of the government of Darabani?
234,Who was the previous head of the government of Muhldorf am Inn?,Marianne Zollner,Y,,Who was the previous head of the government of Muhldorf am Inn?
235,Who was the previous head of the government of Hadsel?,Kurt Jenssen,Y,,Who was the previous head of the government of Hadsel?
236,Who was the previous head of the government of Canada?,Stephen Harper,Y,,Who was the previous head of the government of Canada?
237,Who was the previous head of the government of Region Zealand?,Jens Stenbaek,Y,,Who was the previous head of the government of Region Zealand?
238,Who was the previous head of the government of Free Hanseatic City of Bremen?,Carsten Sieling,Y,,Who was the previous head of the government of Free Hanseatic City of Bremen?
239,Who was the previous head of the government of Sant Fost de Campsentelles?,Carles Miquel i Ruzafa,Y,,Who was the previous head of the government of Sant Fost de Campsentelles?
240,Who was the previous head of the government of Stevns Municipality?,Anette Mortensen,Y,,Who was the previous head of the government of Stevns Municipality?
241,Who was the previous head of the government of Dortmund?,Ullrich Sierau,Y,,Who was the previous head of the government of Dortmund?
242,Who was the previous head of the government of Arnhem?,Boele Staal,Y,,Who was the previous head of the government of Arnhem?
243,Who was the previous head of the government of Addis Ababa?,Takele Uma Benti,Y,,Who was the previous head of the government of Addis Ababa?
244,Who was the previous head of the government of Kinmen?,Chen Fu-hai,Y,,Who was the previous head of the government of Kinmen?
245,Who was the previous head of the government of Greenland?,Kim Kielsen,Y,,Who was the previous head of the government of Greenland?
246,Who was the previous head of the government of Quezon City?,Herbert Bautista,Y,,Who was the previous head of the government of Quezon City?
247,Who was the previous head of the government of Bremerhaven?,Jorg Schulz,Y,,Who was the previous head of the government of Bremerhaven?
248,Who was the previous head of the government of Germany?,Angela Merkel,Y,,Who was the previous head of the government of Germany?
249,Who was the previous head of the government of Nuremberg?,Ulrich Maly,Y,,Who was the previous head of the government of Nuremberg?
250,Who was the previous head of the government of Osaka Prefecture?,Ichiro Matsui,Y,,Who was the previous head of the government of Osaka Prefecture?
251,Who was the previous head of the government of Vintu de Jos?,Ion-Iosif Josan,Y,,Who was the previous head of the government of Vintu de Jos?
252,Who was the previous head of the government of Miskolc?,Akos Kriza,Y,,Who was the previous head of the government of Miskolc?
253,Who was the previous head of the government of Rasnov?,Liviu Butnaru,Y,,Who was the previous head of the government of Rasnov?
254,Who was the previous head of the government of Lannemezan?,Pierre Bleuler,Y,,Who was the previous head of the government of Lannemezan?
255,Who was the previous head of the government of Belgium?,Sophie Wilmes,Y,,Who was the previous head of the government of Belgium?
256,Who was the previous head of the government of Isabela?,Faustino G. Dy III,Y,,Who was the previous head of the government of Isabela?
257,Who was the previous head of the government of Besancon?,Jean-Louis Fousseret,Y,,Who was the previous head of the government of Besancon?
258,Who was the previous head of the government of Zorlentu Mare?,Martin Cornea,Y,,Who was the previous head of the government of Zorlentu Mare?
259,Who was the previous head of the government of Kyoto Prefecture?,Keiji Yamada,Y,,Who was the previous head of the government of Kyoto Prefecture?
260,Who was the previous head of the government of Balassagyarmat?,Lajos Medvacz,Y,,Who was the previous head of the government of Balassagyarmat?
261,Who was the previous head of the government of Hong Kong?,Carrie Lam,Y,,Who was the previous head of the government of Hong Kong?
262,Who was the previous head of the government of Nantou County?,Lee Chao-ching,Y,,Who was the previous head of the government of Nantou County?
263,Who was the previous head of the government of Brno?,Petr Vokral,Y,,Who was the previous head of the government of Brno?
264,Who was the previous head of the government of Aulnay-sous-Bois?,Gerard Segura,Y,,Who was the previous head of the government of Aulnay-sous-Bois?
265,Who was the previous head of the government of Varghis?,Levente-Lehel Suto,Y,,Who was the previous head of the government of Varghis?
266,Who was the previous head of the government of Keelung?,Lin Yu-chang,Y,,Who was the previous head of the government of Keelung?
267,Who was the previous head of the government of Skanderborg Municipality?,Jorgen Gaarde,Y,,Who was the previous head of the government of Skanderborg Municipality?
268,Who was the previous head of the government of Brandenburg an der Havel?,Dietlind Tiemann,Y,,Who was the previous head of the government of Brandenburg an der Havel?
269,Who was the previous head of the government of Jonkoping County?,Anneli Wirten,Y,,Who was the previous head of the government of Jonkoping County?
270,Who was the previous head of the government of Rebreuve-Ranchicourt?,Philippe Miloszyk,Y,,Who was the previous head of the government of Rebreuve-Ranchicourt?
271,Who was the previous head of the government of Nomain?,Yannick Lassalle,NF,,Who was the previous head of the government of Nomain?
272,Who was the previous head of the government of Ziduri?,Nicolaie Nedelcu,Y,,Who was the previous head of the government of Ziduri?
273,Who was the previous head of the government of Nizhny Novgorod?,Vladimir Panov,Y,,Who was the previous head of the government of Nizhny Novgorod?
274,Who was the previous head of the government of KwaZulu-Natal?,Sihle Zikalala,Y,,Who was the previous head of the government of KwaZulu-Natal?
275,Who was the previous head of the government of Odense Municipality?,Anker Boye,Y,,Who was the previous head of the government of Odense Municipality?
276,Who was the previous head of the government of Uruguay?,Tabare Vazquez,Y,,Who was the previous head of the government of Uruguay?
277,Who was the previous head of the government of Hamburg?,Olaf Scholz,Y,,Who was the previous head of the government of Hamburg?
278,Who was the previous head of the government of Mostoles?,David Lucas,Y,,Who was the previous head of the government of Mostoles?
279,Who was the previous head of the government of London?,Boris Johnson,Y,,Who was the previous head of the government of London?
280,Who was the previous head of the government of Pakistan?,Imran Khan,Y,,Who was the previous head of the government of Pakistan?
281,Who was the previous head of the government of Ghidfalau?,Jozsef Berde,Y,,Who was the previous head of the government of Ghidfalau?
282,Which team did Andre Frolov play for before the current team?,Estonia national under-23 football team,Y,,Which team did Andre Frolov play for before the current team?
284,Which team did Alexandru Rauta play for before the current team?,FC Dinamo Bucharest,Y,,Which team did Alexandru Răuță play for before the current team?
285,Which team did Arjen Livyns play for before the current team?,Bingoal Pauwels Sauces WB,Y,,Which team did Arjen Livyns play for before the current team?
286,Which team did Marian Draghiceanu play for before the current team?,FC Rapid Bucuresti,Y,,Which team did Marian Drăghiceanu play for before the current team?
293,Which team did Robert Garrett play for before the current team?,Linfield F.C.,NF,,Which team did Robert Garrett play for before the current team?
294,Which team did Manuel Fernandes play for before the current team?,Apollon Smyrna F.C.,Y,,Which team did Manuel Fernandes play for before the current team?
299,Which team did Lubos Kalouda play for before the current team?,"FK Dukla Prague, Dukla Prague",Y,,Which team did Luboš Kalouda play for before the current team?
300,Which team did Carles Coto play for before the current team?,FC Santa Coloma,Y,,Which team did Carles Coto play for before the current team?
301,Which team did Keamogetse Wolff play for before the current team?,"Chippa United F.C., Cape Town Spurs F.C.",Y,,Which team did Keamogetse Wolff play for before the current team?
303,Which team did Jordi Masip play for before the current team?,FC Barcelona Atletic,Y,,Which team did Jordi Masip play for before the current team?
305,Which team did Dries Wuytens play for before the current team?,Sektzia Nes Tziona F.C.,Y,,Which team did Dries Wuytens play for before the current team?
309,Which team did Vladyslav Nasibulin play for before the current team?,FC Hirnyk-Sport Horishni Plavni,Y,,Which team did Vladyslav Nasibulin play for before the current team?
312,Which team did Pai Soe play for before the current team?,Yadanarbon F.C.,Y,,Which team did Pai Soe play for before the current team?
315,Which team did Volodymyr Gerun play for before the current team?,Real Betis Baloncesto,Y,,Which team did Volodymyr Gerun play for before the current team?
319,Which team did Luca Bigi play for before the current team?,Benetton Rugby Treviso,Y,,Which team did Luca Bigi play for before the current team?
321,Which team did Igor Pisanjuk play for before the current team?,Vasas SC,Y,,Which team did Igor Pisanjuk play for before the current team?
322,Which team did Sebastien Dewaest play for before the current team?,Jong Genk,Y,,Which team did Sébastien Dewaest play for before the current team?
329,Which team did Carlos Balcazar play for before the current team?,Leones Negros de la Universidad de Guadalajara,Y,,Which team did Carlos Balcázar play for before the current team?
335,Which team did Jonathan Carlsbogard play for before the current team?,TBV Lemgo,Y,,Which team did Jonathan Carlsbogård play for before the current team?
341,Which team did Deniz Kilicli play for before the current team?,Buyukcekmece Basketball,Y,,Which team did Deniz Kılıçlı play for before the current team?
342,Which team did Olly Barkley play for before the current team?,"Scarlets, FC Grenoble",Y,,Which team did Olly Barkley play for before the current team?
343,Which team did Jonathan Rivas play for before the current team?,Football Bourg-en-Bresse Peronnas 01,Y,,Which team did Jonathan Rivas play for before the current team?
344,Which team did Vitaliy Balashov play for before the current team?,FC Aktobe,Y,,Which team did Vitaliy Balashov play for before the current team?
348,Which team did Natnael Berhane play for before the current team?,Cofidis,Y,,Which team did Natnael Berhane play for before the current team?
350,Which team did Victor Bulat play for before the current team?,FC Yenisey Krasnoyarsk,Y,,Which team did Victor Bulat play for before the current team?
353,Which team did Fabio Morena play for before the current team?,SV Sandhausen,Y,,Which team did Fabio Morena play for before the current team?
354,Which team did Coen Vermeltfoort play for before the current team?,Alecto,Y,,Which team did Coen Vermeltfoort play for before the current team?
355,Which team did Kathleen Radtke play for before the current team?,"Manchester City F.C., Manchester City W.F.C.",Y,,Which team did Kathleen Radtke play for before the current team?
361,Which team did Mikel Landa play for before the current team?,Bahrain Victorious,Y,,Which team did Mikel Landa play for before the current team?
362,Which team did Ionut Rada play for before the current team?,A.S.D. Fidelis Andria 1928,Y,,Which team did Ionuț Rada play for before the current team?
364,Which team did Miguel Florez Lopez play for before the current team?,GW Shimano-Sidermec,Y,,Which team did Miguel Flórez López play for before the current team?
367,Which team did Leroy Fer play for before the current team?,Feyenoord,Y,,Which team did Leroy Fer play for before the current team?
371,Which team did Darwin Atapuma play for before the current team?,Colombia Tierra de Atletas-GW Bicicletas,Y,,Which team did Darwin Atapuma play for before the current team?
372,Which team did Khaled Lemmouchia play for before the current team?,"Algeria national football team, Club Africain",Y,,Which team did Khaled Lemmouchia play for before the current team?
374,Which team did Jonjoe Kenny play for before the current team?,Celtic F.C.,Y,,Which team did Jonjoe Kenny play for before the current team?
378,Which team did Hou Junjie play for before the current team?,Shanghai Shenxin F.C.,Y,,Which team did Hou Junjie play for before the current team?
379,Which team did Rafael Andriato play for before the current team?,Sao Francisco Saude,Y,,Which team did Rafael Andriato play for before the current team?
380,Which team did Vedran Jese play for before the current team?,NK Zadar,Y,,Which team did Vedran Ješe play for before the current team?
381,Which team did Antonio Teles play for before the current team?,Kalteng Putra F.C.,Y,,Which team did Antonio Teles play for before the current team?
382,Which team did Okan Kurt play for before the current team?,Adanaspor,Y,,Which team did Okan Kurt play for before the current team?
385,Which team did Alexandru Greab play for before the current team?,CS Mioveni,Y,,Which team did Alexandru Greab play for before the current team?
386,Which team did Josh Yorwerth play for before the current team?,"Cardiff City F.C., Wales national under-21 football team",Y,,Which team did Josh Yorwerth play for before the current team?
387,Which team did Lewis Killeen play for before the current team?,Crawley Town F.C.,Y,,Which team did Lewis Killeen play for before the current team?
389,Which team did Naser Al Sebai play for before the current team?,"Churchill Brothers S.C., Persib Bandung",Y,,Which team did Naser Al Sebai play for before the current team?
397,Which team did Jaycee Gebhard play for before the current team?,Robert Morris Colonials women's ice hockey,Y,,Which team did Jaycee Gebhard play for before the current team?
399,Which team did Andrei Ciolacu play for before the current team?,Floriana F.C.,Y,,Which team did Andrei Ciolacu play for before the current team?
400,Which team did Milan Joksimovic play for before the current team?,FK Novi Pazar,Y,,Which team did Milan Joksimović play for before the current team?
401,Which team did Curtis Samuel play for before the current team?,Carolina Panthers,Y,,Which team did Curtis Samuel play for before the current team?
406,Which team did Sergei Vladimirovich Panov play for before the current team?,FC Dynamo Saint Petersburg,Y,,Which team did Sergei Vladimirovich Panov play for before the current team?
411,Which team did Andreea Popa play for before the current team?,CS Rapid Bucuresti,Y,,Which team did Andreea Popa play for before the current team?
413,Which team did Patrick Schelling play for before the current team?,Team Vorarlberg,Y,,Which team did Patrick Schelling play for before the current team?
416,Which team did Jetse Bol play for before the current team?,Manzana Postobon Team,Y,,Which team did Jetse Bol play for before the current team?
417,Which team did Sampson Cudjoe play for before the current team?,Medeama SC,Y,,Which team did Sampson Cudjoe play for before the current team?
420,Which team did Benjamin Jeannot play for before the current team?,Dijon FCO,Y,,Which team did Benjamin Jeannot play for before the current team?
423,Which team did Christophe Noppe play for before the current team?,Arkea-B&B Hotels,Y,,Which team did Christophe Noppe play for before the current team?
425,Which team did Ivelin Yanev play for before the current team?,Neftochimic Burgas 1986,Y,,Which team did Ivelin Yanev play for before the current team?
428,Which team did Beatrice Rossato play for before the current team?,Top Girls Fassa Bortolo,Y,,Which team did Beatrice Rossato play for before the current team?
430,Which team did Malcom Edjouma play for before the current team?,FCSB,Y,,Which team did Malcom Edjouma play for before the current team?
431,Which team did Todor Kyuchukov play for before the current team?,FC Bansko,Y,,Which team did Todor Kyuchukov play for before the current team?
434,Which team did Masakazu Kihara play for before the current team?,Avispa Fukuoka,Y,,Which team did Masakazu Kihara play for before the current team?
440,Which team did Julien Cardy play for before the current team?,AC Arles,Y,,Which team did Julien Cardy play for before the current team?
443,Which team did Mary Earps play for before the current team?,VfL Wolfsburg,Y,,Which team did Mary Earps play for before the current team?
445,Which team did Matteo Darmian play for before the current team?,"Inter Milan, Parma Calcio 1913",Y,,Which team did Matteo Darmian play for before the current team?
447,Which team did Oleksandr Filippov play for before the current team?,Sint-Truidense V.V.,Y,,Which team did Oleksandr Filippov play for before the current team?
448,Which team did Srdan Vujaklija play for before the current team?,FK Proleter Novi Sad,Y,,Which team did Srđan Vujaklija play for before the current team?
449,Which team did Juvhel Tsoumou play for before the current team?,FC Rapid Bucuresti,Y,,Which team did Juvhel Tsoumou play for before the current team?
461,Which team did Mohamed El Morsy play for before the current team?,"Al Ittihad Alexandria Club, Haras El-Hodood SC",Y,,Which team did Mohamed El Morsy play for before the current team?
464,Which team did Maarten van Trijp play for before the current team?,Destil-Parkhotel Valkenburg,Y,,Which team did Maarten van Trijp play for before the current team?
469,Which team did Yuzo Minami play for before the current team?,Ehime FC,Y,,Which team did Yuzo Minami play for before the current team?
470,Which team did Tim Sandercombe play for before the current team?,Dorchester Town F.C.,Y,,Which team did Tim Sandercombe play for before the current team?
472,Which team did Robin de Kruijf play for before the current team?,VakifBank SK,Y,,Which team did Robin de Kruijf play for before the current team?
479,Which team did Andre Andre play for before the current team?,Vitoria S.C.,Y,,Which team did André André play for before the current team?
483,Which team did Djamel Bouaicha play for before the current team?,Mouloudia Club Oranais,Y,,Which team did Djamel Bouaïcha play for before the current team?
484,Which team did Cecilia Salvai play for before the current team?,ACF Brescia Calcio Femminile,Y,,Which team did Cecilia Salvai play for before the current team?
486,Which team did Modeste M'bami play for before the current team?,Millonarios,Y,,Which team did Modeste M'bami play for before the current team?
487,Which team did Mario Mutsch play for before the current team?,FC St. Gallen,Y,,Which team did Mario Mutsch play for before the current team?
488,Which team did Walid Azaro play for before the current team?,Al-Ettifaq FC,Y,,Which team did Walid Azaro play for before the current team?
490,Which team did Jonas Hofmann play for before the current team?,Borussia Monchengladbach,Y,,Which team did Jonas Hofmann play for before the current team?
492,Which team did Katarina Kolar play for before the current team?,Zaglebie Lubin,Y,,Which team did Katarina Kolar play for before the current team?
496,Which team did Marco Verratti play for before the current team?,Paris Saint-Germain F.C.,Y,,Which team did Marco Verratti play for before the current team?
